facility_code,facility_name,market,campus_name,address_raw,it_area_sqft,critical_it_mw,onsite_carriers,detail_url,market_url,fetched_at,capacity_density_w_per_sqft
IAD2,McLean Data Center,northern-virginia,,"1764A Old Meadow Lane - McLean, VA 22102",40690,3.0,8,https://www.databank.com/data-centers/northern-virginia/mclean/,https://www.databank.com/data-centers/northern-virginia/,2026-09-18T08:18:55.270202Z,73.72818874416319
IAD3,Ashburn Campus Data Center,northern-virginia,Ashburn Campus,"21630 Red Rum Drive - Ashburn, VA 20147",200000,40.0,18,https://www.databank.com/data-centers/northern-virginia/ashburn-campus/iad3/,https://www.databank.com/data-centers/northern-virginia/,2026-09-18T08:18:50.488700Z,200.0
IAD4,Ashburn Campus Data Center,northern-virginia,Ashburn Campus,"21625 Red Rum Drive - Ashburn, VA 20147",70000,20.0,17,https://www.databank.com/data-centers/northern-virginia/ashburn-campus/iad4/,https://www.databank.com/data-centers/northern-virginia/,2026-09-18T08:18:52.336281Z,285.7142857142857
IAD5,Culpeper Campus Data Center,northern-virginia,Culpeper Campus,"14601 Germanna Hwy - Culpeper, VA 22701",229932,72.0,,https://www.databank.com/data-centers/northern-virginia/culpeper-campus/iad5/,https://www.databank.com/data-centers/northern-virginia/,2026-09-18T08:18:53.291776Z,313.1360576170346
IAD6,Culpeper Campus Data Center,northern-virginia,Culpeper Campus,"14601 Germanna Hwy - Culpeper, VA 22701",383220,120.0,,https://www.databank.com/data-centers/northern-virginia/culpeper-campus/iad6/,https://www.databank.com/data-centers/northern-virginia/,2026-09-18T08:18:54.279444Z,313.1360576170346
IND1,Downtown Indianapolis Data Center,indianapolis,,"731 West Henry Street - Indianapolis, IN 46225",16950,2.1,19,https://www.databank.com/data-centers/indianapolis/731-west-henry-street/,https://www.databank.com/data-centers/indianapolis/,2026-09-18T08:18:26.656085Z,123.89380530973452
IND2,Downtown Indianapolis Data Center,indianapolis,,"650 West Henry Street - Indianapolis, IN 46225",31080,3.75,19,https://www.databank.com/data-centers/indianapolis/650-west-henry-street/,https://www.databank.com/data-centers/indianapolis/,2026-09-18T08:18:27.603129Z,120.65637065637065
LAS1,Las Vegas Data Center,las-vegas,,"7185 Pollock Drive - Las Vegas, NV 89119",57364,3.35,11,https://www.databank.com/data-centers/las-vegas/7185-pollock-drive/,https://www.databank.com/data-centers/las-vegas/,2026-09-18T08:18:33.256752Z,58.39899588592149
LAX1,Los Angeles One Wilshire Data Center,los-angeles,,"624 South Grand Avenue Suite #2900 - Los Angeles, CA 90017",18480,2.0,11,https://www.databank.com/data-centers/los-angeles/624-south-grand-avenue/,https://www.databank.com/data-centers/los-angeles/,2026-09-18T08:18:35.308215Z,108.22510822510823
LAX2,Los Angeles Vernon Data Center,los-angeles,,"3094 E. Vernon Avenue - Vernon, CA 90058",131000,32.0,,https://www.databank.com/data-centers/los-angeles/los-angeles-vernon-data-center/,https://www.databank.com/data-centers/los-angeles/,2026-09-18T08:18:36.542100Z,244.27480916030535
LGA1,Downtown New York City Data Center,new-york-city,,"60 Hudson Street Suite #1903 - New York City, NY 10013",23940,0.74,92,https://www.databank.com/data-centers/new-york-city/hudson-street/,https://www.databank.com/data-centers/new-york-city/,2026-09-18T08:18:48.248392Z,30.91060985797828
LGA2,Downtown New York City Data Center,new-york-city,,"111 Eighth Ave Suite #311A - New York City, NY 10011",10200,0.68,50,https://www.databank.com/data-centers/new-york-city/eighth-avenue/,https://www.databank.com/data-centers/new-york-city/,2026-09-18T08:18:49.243578Z,66.66666666666667
LGA3,Orangeburg Data Center,new-york-city,Orangeburg Campus,"2000 Corporate Dr. - Orangeburg, NY 10962",110000,20.0,8,https://www.databank.com/data-centers/new-york-city/orangeburg-campus/lga3/,https://www.databank.com/data-centers/new-york-city/,2026-09-18T08:18:46.193323Z,181.8181818181818
LGA4,Orangeburg Data Center,new-york-city,Orangeburg Campus,"2000 Corporate Dr. - Orangeburg, NY 10962",55000,10.0,8,https://www.databank.com/data-centers/new-york-city/orangeburg-campus/lga4/,https://www.databank.com/data-centers/new-york-city/,2026-09-18T08:18:47.316363Z,181.8181818181818
LHR1,London Heathrow Data Centre,london,,"Staines Road, Westgate Estate, Unit 4 - Feltham, UK TW14 8RS",26000,3.6,7,https://www.databank.com/data-centers/london/feltham/,https://www.databank.com/data-centers/london/,2026-09-18T08:18:33.551421Z,138.46153846153845
MCI2,Pine Ridge Data Center,kansas-city,,"10605 W. 84th Terrace - Overland Park, KS 66214",11510,2.0,15,https://www.databank.com/data-centers/kansas-city/pine-ridge/,https://www.databank.com/data-centers/kansas-city/,2026-09-18T08:18:32.443499Z,173.7619461337967
MCI3,South Lake Campus Data Center,kansas-city,South Lake Campus,"11200 Lakeview Ave - Lenexa, KS 66219",69762,12.75,15,https://www.databank.com/data-centers/kansas-city/south-lake-campus/south-lake/,https://www.databank.com/data-centers/kansas-city/,2026-09-18T08:18:30.696543Z,182.76425561193773
MEM1,Memphis Data Center,memphis,,"7620 Appling Center Drive - Memphis, TN 38133",7090,0.45,13,https://www.databank.com/data-centers/memphis/7620-appling-center-drive/,https://www.databank.com/data-centers/memphis/,2026-09-18T08:18:37.644120Z,63.469675599435824
MIA1,Downtown Miami Data Center,miami,,"36 Northeast 2nd Street Suite #700 - Miami, FL 33132",11030,1.6,28,https://www.databank.com/data-centers/miami/36-northeast-2nd-street/,https://www.databank.com/data-centers/miami/,2026-09-18T08:18:38.490449Z,145.05893019038984
MSP1,West Twin Cities Data Center,minneapolis,,"7700 France Ave S - Edina, MN 55435",26240,1.35,21,https://www.databank.com/data-centers/minneapolis/edina/,https://www.databank.com/data-centers/minneapolis/,2026-09-18T08:18:40.396616Z,51.448170731707314
MSP2,East Twin Cities Data Center,minneapolis,,"3255 Neil Armstrong Blvd - Eagan, MN 55121",48860,5.0,21,https://www.databank.com/data-centers/minneapolis/eagan/,https://www.databank.com/data-centers/minneapolis/,2026-09-18T08:18:41.585355Z,102.33319688907082
MSP3,Brooklyn Park Data Center,minneapolis,Brooklyn Park Campus,"8111 Oxbow Creek N - Brooklyn Park, MN 55445",82231,9.0,21,https://www.databank.com/data-centers/minneapolis/brooklyn-park-campus/brooklyn-park/,https://www.databank.com/data-centers/minneapolis/,2026-09-18T08:18:39.556560Z,109.44777516994807
MSP4,Downtown Minneapolis Data Center,minneapolis,,"511 11th Avenue S - Minneapolis, MN 55145",8170,0.779,21,https://www.databank.com/data-centers/minneapolis/511-11th-avenue/,https://www.databank.com/data-centers/minneapolis/,2026-09-18T08:18:42.900403Z,95.34883720930233
ORD1,Downtown Chicago Loop Data Center,chicago,,"600 South Federal Street Suites 150 & 142 - Chicago, IL 60605",10130,1.0,17,https://www.databank.com/data-centers/chicago/600-south-federal-street/,https://www.databank.com/data-centers/chicago/,2026-09-18T08:17:58.169204Z,98.71668311944718
ORD2,Downtown Chicago Metro Data Center,chicago,,"840 S. Canal Street - Chicago, IL 60607",11470,2.0,11,https://www.databank.com/data-centers/chicago/840-canal-street/,https://www.databank.com/data-centers/chicago/,2026-09-18T08:17:59.169663Z,174.36791630340016
ORD3,Mount Prospect Data Center,chicago,,"800 E. Business Center Drive - Mount Prospect, IL 60056",28950,2.7,8,https://www.databank.com/data-centers/chicago/mount-prospect/,https://www.databank.com/data-centers/chicago/,2026-09-18T08:18:00.175663Z,93.26424870466322
ORD4,Chicago Tri-State Data Center,chicago,,"1808 Swift Drive Suite B & C - Oak Brook, IL 60523",77510,8.75,14,https://www.databank.com/data-centers/chicago/oak-brook/,https://www.databank.com/data-centers/chicago/,2026-09-18T08:18:01.177859Z,112.88865952780286
PHL1,Downtown Philadelphia Data Center,philadelphia,,"401 North Broad Street Suite #240 - Philadelphia, PA 19108",7760,0.34,22,https://www.databank.com/data-centers/philadelphia/401-north-broad-street/,https://www.databank.com/data-centers/philadelphia/,2026-09-18T08:18:56.177578Z,43.81443298969072
PIT1,Downtown Pittsburgh Data Center,pittsburgh,,"100 S Commons #126 - Pittsburgh, PA 15212",30760,1.9,29,https://www.databank.com/data-centers/pittsburgh/100-south-commons/,https://www.databank.com/data-centers/pittsburgh/,2026-09-18T08:18:58.172740Z,61.76853055916775
PIT2,Summit Park Data Center,pittsburgh,Summit Park Campus,"35 Summit Park Dr - Pittsburgh, PA 15275",47100,5.0,29,https://www.databank.com/data-centers/pittsburgh/summit-park-campus/summit-park/,https://www.databank.com/data-centers/pittsburgh/,2026-09-18T08:18:57.306653Z,106.15711252653928
SAN1,San Diego World Trade Data Center,san-diego,,"12270 World Trade Drive Suite #100 - San Diego, CA 92128",55239,7.2,15,https://www.databank.com/data-centers/san-diego/12270-world-trade-drive/,https://www.databank.com/data-centers/san-diego/,2026-09-18T08:19:06.277398Z,130.3426926627926
SEA1,Downtown Seattle Data Center,seattle,,"2001 6th Ave 12th Floor Suite #12500 - Seattle, WA 98109",4050,0.21,26,https://www.databank.com/data-centers/seattle/2001-6th-avenue/,https://www.databank.com/data-centers/seattle/,2026-09-18T08:19:07.866844Z,51.851851851851855
SEA2,SeaTac Data Center,seattle,,"3311 South 120th Place Suite #120 - Tukwila, WA 98168",28240,3.0,17,https://www.databank.com/data-centers/seattle/seatac/,https://www.databank.com/data-centers/seattle/,2026-09-18T08:19:08.692555Z,106.23229461756374
SFO1,Silicon Valley Data Center,silicon-valley,,"5101 Lafayette Street - Santa Clara, CA 95054",16680,3.0,4,https://www.databank.com/data-centers/silicon-valley/santa-clara/,https://www.databank.com/data-centers/silicon-valley/,2026-09-18T08:19:09.787125Z,179.85611510791367
SLC1,Downtown Salt Lake City Data Center,salt-lake-city,,"179 E Social Hall Ave Suite #200 - Salt Lake City, UT 84111",10610,0.5,38,https://www.databank.com/data-centers/salt-lake-city/179-e-social-hall-avenue/,https://www.databank.com/data-centers/salt-lake-city/,2026-09-18T08:19:05.302857Z,47.1253534401508
SLC2,Granite Point Data Center,salt-lake-city,Granite Point Campus,"14944 S Pony Express Rd - Bluffdale, UT 84065",43820,3.25,38,https://www.databank.com/data-centers/salt-lake-city/granite-point-campus/14944-s-pony-express-road/,https://www.databank.com/data-centers/salt-lake-city/,2026-09-18T08:18:59.311793Z,74.16704701049748
SLC3,Granite Point Data Center,salt-lake-city,Granite Point Campus,"14926 S Pony Express Rd - Bluffdale, UT 84065",55780,7.0,38,https://www.databank.com/data-centers/salt-lake-city/granite-point-campus/14926-s-pony-express-road/,https://www.databank.com/data-centers/salt-lake-city/,2026-09-18T08:19:00.285341Z,125.4930082466834
SLC4,Granite Point Data Center,salt-lake-city,Granite Point Campus,"14860 S Pony Express Rd - Bluffdale, UT 84065",20740,3.67,38,https://www.databank.com/data-centers/salt-lake-city/granite-point-campus/14860-s-pony-express-road/,https://www.databank.com/data-centers/salt-lake-city/,2026-09-18T08:19:01.334739Z,176.95274831243972
SLC5,Granite Point Data Center,salt-lake-city,Granite Point Campus,"14850 S Pony Express Rd - Bluffdale, UT 84065",49180,10.0,38,https://www.databank.com/data-centers/salt-lake-city/granite-point-campus/14870-s-pony-express-road/,https://www.databank.com/data-centers/salt-lake-city/,2026-09-18T08:19:03.333298Z,203.334688897926
SLC6,Granite Point Data Center,salt-lake-city,Granite Point Campus,"14870 S Pony Express Road - Bluffdale, UT 84065",88250,22.0,38,https://www.databank.com/data-centers/salt-lake-city/granite-point-campus/slc6/,https://www.databank.com/data-centers/salt-lake-city/,2026-09-18T08:19:04.227740Z,249.29178470254956
SNA1,Irvine Data Center,irvine,,"17222 Von Karman Avenue - Irvine, CA 92614",36720,2.64,16,https://www.databank.com/data-centers/irvine/17222-von-karman-avenue/,https://www.databank.com/data-centers/irvine/,2026-09-18T08:18:28.590764Z,71.89542483660131
SNA2,Irvine Data Center,irvine,,"17400 Von Karman Avenue - Irvine, CA 92614",53150,8.0,16,https://www.databank.com/data-centers/irvine/17400-von-karman-avenue/,https://www.databank.com/data-centers/irvine/,2026-09-18T08:18:29.741259Z,150.51740357478835
